Bangla,Chittagong
হজ্জ করবেন কবে?,হজ্ব গরিবেন দে হত্তে ?
মাংসের পুলি পছন্দ,গোস্তর পুলি গম লাগে দে
"গেমিং ল্যাপটপ নিছি, এখন এডিটিংও করা যাবে","গেমিং ল্যাপটপ লয়, এহন এডিটিংও গরিত পাইজ্জুম"
কৃষকরা মুঠোফোনে ধানের দাম জানছে,কৃষক অলে মোবাইলু ধানর দর জানের
বাংলা ছবি কোথায় দেখেন?,বাংলা সিনেমা হনডে চন দে?
কিভাবে ফুল সাজান?,ফুল কেন গরি সাজান দে?
ওয়ালেটে,ওয়ালেটত
সব ডগা ভেঙ্গেছি।,বেগ ডগা ভাইঙ্গি ।
ছাদের কোণায় কি?,ছাদর হোণাত কি ?
বাড়ির কোন দিকে ছায়া বেশি?,ঘরর হনদি ছামা বেশি দে?
আপনার কি টেলিস্কোপ আছে?,অনত্তে কি টেলিস্কোপ আছে না?
"হ্যাঁ, রোজ সকালে","অয়অ, পইত্তেন বেয়িন্নে"
কোথায় ধুপ জ্বালান?,ধোয়া হডে দিয়ন দে?
তারা ভরা আকাশ,আকাশত তারার টাল
কিভাবে মাছ কাটেন?,মাছ কেন গরি হাডন দে?
কোন সময় হাঁটতে বের হন?,হনসমত আডিবেল্লাই বাইর অন দে?
শেষ দশ দিনে।,শেষ দশ দিন ।
ঈদের দিন কি করেন?,ঈদুর দিনুত কি গরন দে?
কার কাছে গল্প শুনতে ভালোলাগে?,হার হাছে গল্প উনতে ভালা লাগে?
"শীতের সকালে, যখন কুয়াশা কাটে","শীতকাইল্লে বেয়িন্নে,যেত্তে কুয়াশা ন থাগে"
কোন সময় পড়াশোনা করেন?,হন সমত পড়ালেহা গরন দে?
টাটকা মাছ,তাজা মাছ
মেনু কার্ড দেখব?,মেনু কার্ড চাইয়ুম না?
ঠিক বারোটায়,ঠিক বারটা বাজে
বাড়ির কোন জায়গায় আলো কম?,ঘরর হন জাগাত পঅর হম পড়ে?
তোমার ল্যাপটপটা কেমন?,তোয়ার লেপটপ ইবে কেএন?
চাষ হয়েছে?,চাষ অইয়ি না?
আধা কেজি দিন।,আধা কেজি দিয়ন
জ্বরে ভুগছি।,জ্বরে ভুগির ।
পাশের বাসার মাসির কাছে,ঘরর ডাহদি হালাত্তুন
শীতের সকালে কি পান?,শীতকাইল্লে বেয়িন্নে কি পন দে?
রুই মাছ।,রুইত মাছ ।
ভোরবেলা উঠে শিশির মাখা ফুল তুলি,বেয়িন্নে উডি হুয়াত ভিজি ফুল তুলি দি
"কি রে, পুরান দোকানটা কি হলো?",কিরে পুরন দোআন ইয়েন কি অইয়ি দে?
কোন ধরনের নদী পছন্দ?,কিরহম হাল গম লাগে দে?
কুমিল্লার রসমালাই কার জন্য?,কুমিল্লার রসমালাই হার লায়?
বাঁশের চারা আর মুকুল খুঁজে পাই,বাঁশর চারা ইয়ের হরা তুআই পায়
আপনি কি নিয়মিত স্প্রিন্ট প্ল্যান করেন?,অনেকি পইত্তেন স্প্রিন্ট প্ল্যান গরন না?
"চাচা, কেমন আছেন?",চাচা ক্যান আছন?
কিভাবে মাছ রান্না করেন?,কেন গরি মাছ রাধন দে?
"হ্যাঁ, লোডশেডিংয়ের জন্য","অয়অ, লোডশেডিংয়ের লাই"
জানালার পাশে বসে,জানালার ডাগত বয়দি
"বড় বোন, কি ভাবছো?","বড় বইন,কি ভাইবতে লাইগ্গুন দে?"
আপনি কি নিয়মিত শসা খান?,অনে কি পইত্তেন ফল হন না?
রোজ শেষ রাতে।,পইত্তেন শেষ রাতিয়ে ।
বগুড়ার দই নিয়ে কি করেন?,বগুড়ার দই লইয়েরে কি গরন দে?
শ্মশান ঘাট।,শ্মশান ঘাট।।
শহীদ মিনারে কবে যান?,শহীদ মিনারত হত্তে যন দে?
দশ টাকার দিন।,দশ টিয়ার দিয়।ন
মশলা বাটা হয়েছে?,মশল্লা বাডা অইয়ি না?
কাশবনে কি করেন?,কাশবনত কি গরন দে?
আপনার কি হট ওয়াটার বাথ করেন?,অনত্তে কি হট ওয়াটার বাথ আছে না?
"তাজা শাক-সবজি আর দুধ, প্রতিদিন সকালে","তাজা শাকসবজি ইয়ের দুধ,পইত্তেন বেয়িন্নে"
শুক্রবার সকালে,শুক্কুরবার বেয়িন্নে
শাহবাগের মার্কেটে,শাহবাগ মার্কেটত
বিলের মধ্যে শাপলা দেখতে দেখতে মাঝির গান শুনি,বিলুর মাঝে শাপলা চাতে চাতে মাঝির গান ওনি
সন্ধ্যায় বার্বিকিউ পার্টি হয় মাঝে মাঝে,আজইন্নে বার্বিকিউ পার্টি অয় মাঝে মদ্ধে
দেশি কফি ব্র্যান্ড কেমন?,দেশি কফি ব্র্যান্ড কেন?
বই পড়ছে।,বই পড়ের ।
তোর ফুড ডেলিভারি কতজন রাইডার?,তোর ফুড ডেলিভারিত হজন রাইডার?
"দেখ দেখ, কি ওড়ে?","ছা ছা,কি উরের ?"
মেইন ডিশ কি আছে?,মেইন ডিস কি আছে না?
নকশীকাঁথা কে বানায়?,সিলেইন্নে কেথা হনে সিলেটি দে?
মোনাজাত করবেন?,মোনাজাত গরিবেন না?
"রস ঝরে, গুড় তৈরি হয়, মিষ্টি গন্ধ ছড়ায়","রস পড়ে,মিডে তৈয়ের অয়,মিডে বাশ লাগে"
যে পথে কেউ যায় না।,যে পথদি কিয়ায় ন যায় ।
তোর বাসার কাছে কি খুলছে?,তোর ঘরর ডাহত কি খুইল্লি দে?
তাঁতের সুতি পছন্দ,তাঁতর সুতি গম লাগে দে
দরুদ পড়া হয়?,দরদ পড়া অয় না ?
কোন ধরনের রোদ পছন্দ?,কি রহম রইদ ভালা লাগে দে?
"হ্যাঁ, লাল শাক খাই","অয়অ,লাল শাক খাই দি"
তোর পাড়ার নতুন দোকানটা কি?,তোর পাড়ার নোয়া দোআন ইয়েন কি?
কোন সময় বাগান করতে যান?,হন সমত বাগান গইত্তু যন দে?
"হ্যাঁ, গরম আছে।","অয়অ,গরম আছে ।"
গ্রামের বাজারে কি কেনেন?,গেরামর বাজারত্তুন কি কিনন দে?
আজ কার জন্মদিন?,আজিয়ে হার জন্মদিন ?
আপনার কি বাড়িতে হাসনাহেনা আছে?,অনর ঘরত কি হাসনাহেনা গাছ আছে না?
হাটে পাবেন।,আটখোলাত পাইবেন ।
গ্রামের মৌসুমি ফল কি পান?,গেরামত সিজনর ফলফ্রুট কি পন না?
কি রান্না হবে?,কি রান্না অইবু দে?
সেমাই পায়েস পছন্দ,সেমাই পায়েস গম লাগে দে
নিরিবিলি কোণে,নিজেপ হোনুত
কলাপাতায় কি খেতে ভালো?,কেলা পাতাত কি হাইতু গম লাগে দে?
"হ্যাঁ, সন্ধ্যায় খুব জ্যাম হয়","অয়অ,আজইন্নে বেশি জাম"
কোন ধরনের ডাল পছন্দ?,ডাইল হন্ন অনত্তে গম লাগে দে?
কোন ধরনের সকাল পছন্দ?,কি রহম বেয়িন্নে গম লাগে দে?
আপনার কি বাড়িতে শেফালি গাছ আছে?,অনর ঘরত কি শেফালী গাছ আছে না?
কি করছে খালা?,কি গরের দে হালা ?
আরও একটু লাগবে।,আরেক্ষিনি লাগিবু।
রান্নাঘরের কোণায়,পাকঘরর হোনাত
পুঁটি মাছ,পুঁটি মাছ
গ্রামের শেষে কি?,গেরামর শেষে কি?
কার্তিক মাসে কি দেখছো?,হাতি মাইসসে কি দেক্ষুন দে?
টাটকা রুই মাছ বেশি পছন্দ করি,তাজা রুইত মাছ বেশি গম লাগে
দুধ কম দিয়ে,দুধ হম দিয়েছে
"হ্যাঁ, একটা দিন","অয়অ,ওগগো দিন"
"হ্যাঁ, প্রতি সকালে","অয়অ, পইত্তেন বেয়িন্নে"
আপনি কি নিয়মিত ছানা খান?,অনে কি পইত্তেন ছানা হন না?
স্টক এক্সচেঞ্জে,স্টক এক্সচেঞ্জ গরি দি
ঈদের দিন কি করো?,ঈদুর দিন কি গরন দে?
কোন মেলায় যাও?,হন মেলাত যন দে?
লিস্ট করা আছে।,লিস্টি গইজ্জে আছে ।
চিনিগুড়া চাল,চিনিগুর ছিল
কি খাবার অর্ডার দিলে?,কি হানা অডার দিলে?
আপনার কি ফ্লোর ম্যাট আছে?,অনত্তে কি ফ্লোর ম্যাট আছে না?
আপনি কি নিয়মিত গাছে পানি দেন?,অনে কি পইত্তেন গাছত পানি দিয়ন না?
"সোহাগ, আজকে ক্লাসে আসবি তো?",সোহাগ আজিয়ে ক্লাসত আবি নি?
কোন সময় পড়াশোনা জমে?,পড়ালেহা হত্তে গরন দে?
রাতের বেলা যুবকরা আড্ডা দেয়,রাতিয়ের বেলাত জোয়ান পুয়া অলে গফ মারের
কোথায় কাগজ রাখেন?,হাগজ হডে রাহন দে?
নতুন নতুন বাংলাদেশি কনটেন্ট খুঁজে দেখি,নোয়া নোয়া বাংলাদেশি কনটেন্ট তোআয় চাইদি
পাঁচ মিনিট দিন।,পাঁচ মিনিট দিয়ন ।
"হ্যাঁ, সবজি কাটার জন্য","অয়অ,তরহারি হাডিবেল্লায়"
তিনবার পানি দিয়ে,তিনবার পানি দিয়েরে
দুটো পেকেছে।,দুঅ পাইক্ষি ।
আপনি কি ক্রিকেট খেলেন?,অনে কি ক্রিকেট খেলন না?
কুড়ি টাকার কাটা।,কুড়ি টিয়ার হওঅ ।
পত্রিকা কোথায়?,পেপার হনডে ?
"হ্যাঁ, সার্চ ইঞ্জিনে","অয়অ,সার্চ ইঞ্জিনে"
"না, খুব কষ্ট হয়","না,বঅত হষ্ট"
সবজি আর মাছ।,তরহারি ইয়ের মাছ ।
আপনার কি বাড়িতে মশা আছে?,অনর ঘরত কি মশা আছে না?
"হ্যাঁ, ভোর হয়েছে।","অয়অ,পোয়াত্তে অইয়ি।"
"বাবা, বন্ধুদের সাথে ঘুরতে যাব?","বাবা, বন্ধু অলর লগে ঘুইত্তু যাইয়ুম না?"
বাংলাদেশের গ্রামীণ নারীরা কি করেন?,বাংলাদেশর গেরমর বেডি অল কি গরে দে?
"হ্যাঁ, পরিষ্কার করেছি।","অয়অ,সাফ গইজ্জি ।"
"হ্যাঁ, সব কাটা শেষ।","অয়অ,বেগ হাডা শেষ ।"
খুব মজার হয়েছে,বঅত পোয়াদ অইয়ি
ওই কোণায়।,ওই হোনাত।
ঘি খাঁটি তো?,ঘি হাটিঁ তো ?
কার সাথে বেড়াতে যান?,হার লয় বেড়াইতু যন দে?
ফ্রিজে রেখে দেই,ফিরিজুত রাহি দেইর
এগারটার দিকে,এগারটার ইক্ষে
কোন ধরনের কাবাব পছন্দ?,কিরহম কাবাব গম লাগে দে?
কি খবর দেখছেন?,কি হবর চায়তে লাইগ্গুন?
কোন ধরনের খাবার পরিবেশন করেন?,হন ডইল্লে হানা মেমানঅরে দিতু ভালা লাগে দে?
মাশাল্লাহ্‌ খুব ভালো,মাশাল্লাহ্‌ বউত ভালো
ঢাকার ছাদবাগান কেমন?,ঢাহার ছাদর বাগান কেন?
"ছাদের কোণায় বসে, যেখানে শান্ত পরিবেশ","ছাদর হোনুত বইয়েরে,যেনডে পরিবেশ নিজেপ"
জায়নামাজে জড়ানো।,জায়নামাজ জড়াইয়ে।
বাড়ির কোন জায়গায় বসে খান?,ঘরর হন জাগাত বইয়েরে হানা হন দে?
লাউয়ের খোসা কি করেন?,বাইলে হদুর চোলা কি গরন দে?
ছোট ছোট করে,গুরঅ গুরঅ গরি
"হ্যাঁ, তোমার খোঁজেই এসেছি।","অয়অ,তোয়ারে থোয়াইতাম আইসসি দি ।"
ক্যাফেতে বসবে নাকি বাইরে?,কেফত বইবে নাকি বাইরে?
তোর মামার দোকানে কি হয়?,তোর মামার দোআনত কি অয় দে?
"হ্যাঁ, বাথরুমে আছে","অয়অ, বাথরুমুত আছে"
তোর লাঞ্চ ব্রেক কখন?,তুর লান্চ ব্রেক হত্তে?
আপনার কি ওয়াইফাই এক্সটেন্ডার আছে?,অনত্তে কি ওয়াইফাই এক্স টেন্ডার আছে না?
আজকে কি অফিস বন্ধ?,আজিয়ে অফিস বন্ধ না?
শান্ত বিকেল,নিজেপ বিকেলবেলা
আপনার কি পেট ব্যথা করছে?,অনে কি পেটত দুঃখইতে লাইগগুন না?
ধর্মীয় শিক্ষার সাথে আধুনিক শিক্ষাও নেয়,ধর্মর শিক্ষের লয় আধুনিক শিক্ষেও লয়
আপনি কি নিয়মিত প্রেশার চেক করেন?,অনেকি পইত্তেন প্রেশার চেক গরন না?
বৃষ্টি আসতেছে দেখছিস?,ঝড় আয়ির দেহর না?
"হ্যাঁ, নতুন কিনেছি","অয়অ,নোয়া কিন্নি দি"
মাটির পুতুল তৈরি করা শিখছি,মেডির পুতুল বানানি শিখিদ্দি
কোথায় চা বানান?,চা হডে বানন দে?
নৌকা বাইচে কি হয়?,নৌক বাইতু কি অয় দে?
শাপলা ফুল কোথায় দেখো?,শাপলা হনডে দেহন দে?
পড়াশোনা কোথায় করেন?,পড়ালেহা হন্ডে গরন দে?
বারান্দার টেবিলে,বারান্দার টেবিলুত
কোন দিকে যাবে মামী?,হন দি যাইবেদে মামী ?
বাদাম ভাজা আছে?,বাদাম ভাইজ্জে আছে না ?
সামনের সিটে।,সাম্মদির সিটুত ।
মুরগি আর ভাত,খুর গোস্ত ইয়ের ভাত
সাধারণ বাঙালি রান্না,সাধারন বাআলর রান্না
কোথায় বসে পড়াশোনা করিস?,হনডে বইয়েরে পড়ালেহা গরছ দে?
সব ভালো।,বেজ্ঞিন ভালা ।
"হ্যাঁ, দাঁতের জন্য","অয়অ, দাঁতর রায়"
আপনার কি ডেস্কটপ কম্পিউটার আছে?,অনত্তে কি ডেস্কটপ কম্পিউটার আছে না?
নরসিংদীর মাধবদীতে যাচ্ছ?,নরসিংদির মাধবদীত যাইবে?
দড়িতে শুকাচ্ছে।,দড়িত পুঅরদে ।
"এই যে মিয়া, কি নিয়ে যাও?","এই মিয়ে,কি লয়েরে যঅ ?"
তোর বাসার পাশে কি হচ্ছে?,তোর ঘরর ডাহদি কি অদ্দে?
নগর জীবনে কি দেখছো?,শঅরত মাইজ্জি কি চাইয়ু দে?
কোন সেক্টরে ইনভেস্ট করছেন?,হন সেক্টরত ইনবেস্ট গইজ্জুন?
"হ্যাঁ, রাতে লিখি","অয়অ,রাতিয়ে লেখি দি"
কোন ধরনের বিকেল পছন্দ?,কিরহম বিকেলবেলা ভালা লাগে দে?
"অপটিক ফাইবার আসছে, স্পিড ভালো","অপটিক ফাইবার আইয়ির, স্পিড ভালা"
কোন মৌসুমে শাক বেশি পাওয়া যায়?,হন মৌসুমোত বেশি শাক পা যায় দে?
বাংলা নববর্ষে কি করেন?,বাংলা মাসর ১তারিখ কি গরন দে?
"মাস্টার সাব, আমার পোলা কেমন পড়ে?","মাস্টর সাব, আর পোয়া ক্যান পড়ে?"
পরীক্ষা কবে?,পরীক্ষে হত্তে?
দাঁত কেমন করে।,দাঁত কেন গরে ।
মাটির পাত্রে কি রান্না করেন?,মেডির পাতিলেত কি রাধন দে?
ভাত চড়ানো আছে।,ভাত চড়াইয়ে আছে ।
গত মাসে এসেছি,গত মাসত আইসসি দি্
"টিকটকে কনটেন্ট দিচ্ছি, ভালই রেসপন্স","টিকটকে কনটেন্ট দির, ভালা রেসপন্স"
শিলনোড়া আনুন।,শিল পাডা অনন ।
আপনার কি পুরনো রেকর্ড আছে?,অনত্তে কি পুরোন রেহড আছে না?
আপনার বয়স কত?,অনর বয়স হত ?
কি নিয়ে এলে?,কি লয় আইসসুন ?
"টাটকা সবজি, গরম জিলাপি আর চা","তাজা তরহারি,গরম জিলেপি ইয়ের চা"
কোন রেস্তোরাঁয় বিরিয়ানি ভালো?,হন ওটেলর বিরেনী মজা দে?
চা-বাগানে গেলে কি করো?,চা বাগানত যাইলি কি গরন দে?
আপনি কি রোজা রাখেন?,অনে কি রোজা রাহন না?
কোথায় মিট করবেন?,দেহা হডে গরিবেন দে?
পূর্ণিমার চাঁদ পছন্দ,পূর্ণিমেত চানঁ চাদ্দে
লাউয়াছড়া জাতীয় উদ্যানে কি আছে?,লাউয়াছড়া জাতীয় উদ্যানে কি আছে দে?
কিভাবে ঘুমাতে যান?,কেন গরি ঘুম যাইতু যন দে?
"প্লে স্টোরে দিছি, ডাউনলোড ভালো আসে","প্লে স্টোরুত দি, ডাউনলোড ভালা আইয়ির"
বিকেলের দিকে,বিকেলবেলার ইক্ষে
আপনি কি নিয়মিত ড্রয়িং করেন?,অনেকি পইত্তেন ড্রয়িং গরন না?
কোথায় ফুল কিনবেন?,ফুল হত্তুন কিনিবেন দে?
সবার সাথে মিলেমিশে উৎসব করা,বেজ্ঞুনুর লয় মিয়েই উৎসব গরি
কোন সেক্টরে গ্রোথ দেখছেন?,হন সেক্টরত গ্রোথ দেখতে লাইগ্গুন?
"হ্যাঁ, অনলাইনে করি","অয়অ,অনলাইনুত গরি দি"
ফিশ কাটলেট পছন্দ,ফিশ কাটলেট গম লাগে দে
বড় বড় কই মাছ।,ডঅর ডঅর হৈ মাছ ।
ছাদে রোদে,ছাদর রইদুত
কোথায় সেমিনার করবেন?,সেমিনার হত্তুন গরিবেন দে?
"সিলেট থেকে পড়তে আসছে, একসাথে থাকব","সিলেটত্তুন পইত্তু আইসসি, এককোয়ারে থাগিবু"
প্রাচীন ইসলামিক স্থাপত্য অবাক করে,প্রাচীন ইসলামিক স্থাপত্য অবাক গরে
শাকের দাম কত বললেন?,শাকর দর হত হয়ুন দে?
"হ্যাঁ, ঝোল করে","অয়অ,ঝোল গরিয়েরে"
নতুন কবিদের আসরে যান?,নতুন কবি অল আইলি এনডে যন না?
"খালামনি, কবে আসছেন আমাদের বাসায়?","হালামণি, হত্তে আইবেন আঁরো বাসাত?"
গ্রামের রাত কেমন কাটে?,গেরামত রাইত কেন গরি যায় দে?
কোথায় ইন্টারভিউ নিবেন?,ইন্টারভিউ হডে লইবেন দে?
কোন এয়ারলাইন্সে যাবেন?,এয়ারলেন্স হননানত গরি যাইবেন দে?
কখন বের হবেন অফিস থেকে?,হত্তে বাইর অইবে অফিসুত্তুন?
"হ্যাঁ, ল্যাপটপের জন্য","অয়অ, ল্যাপটপর রায়"
মসজিদের সামনে কি?,মসদুর সাম্মদি কি ?
জাতীয় উদ্যানে।,জাতীয় উদ্যানত।
ফিউজন বাঙালি খাবার ট্রাই করি,ফিউজন বাআলি হানা ট্রাই গরি
বাঁশের ঝুড়ি,বাঁশর ঝুরি
লুঙ্গি কোথায়?,লঙ্গি হনডে ?
ভাড়া কত নিবেন?,ভাড়া হ টিয়া লইবেন?
"হ্যাঁ, ভাজি করে","অয়অ,ভাজি গরি"
"হ্যাঁ, সাবান দিয়ে","অয়অ,সাবান দিয়েরে"
তাফসির শুনবেন?,তাফসির ওনিবেন না ?
মায়ের কাছ থেকে,মাত্তুন লয় দি
সহজ জীবনযাপন আর প্রকৃতির সাথে সম্পর্ক,সহজ জীবনযাপন আর প্রকৃতির লয় সম্পর্ক
মসজিদে কখন যান?,মসদুত হত্তে যন দে?
চিকেন কোরমা পছন্দ,চিকেন কোরমা গম লাগে দে
শাড়ি কাচবেন?,শাড়ি ধুয়বেন না ?
রেস্টুরেন্টে রিজার্ভেশন দিছো?,রেস্টুরেন্টত রিজার্বিশন দিয়ু না?
উনুন জ্বলছে?,চুল জ্বলের ?
ডিজিটাল আর্ট কি করেন?,ডিজিটাল আর্ট কি গরন না?
হেড অফিসে,হেড অফিসে
রাত জেগে একটানে পড়ে ফেলি,রাতিয়ে ওরঘুম থাগিয়েরে একটানে পড়ি ফেলায়
কেন চশমা পরছো?,চশমা কিল্লেই পইজ্জু?
বেগুন পোড়া কিভাবে খান?,বায়ুন পুড়িয়েরে কেন গরি হন দে?
হাতে সেলাই করা,আথে সিলেই গইজ্জে
মায়ের হাতের রান্না,মার আথর রান্না
কোথায় বসে পত্রিকা পড়েন?,পেপার হনডে বইয়েরে পড়ন দে?
আজকে বিকেলে কোথায় দেখা হবে?,আজিয়ে বিয়েলে হডে দেহা অইবু?
"হ্যাঁ, লাল ফুল ফোটে","অয়অ,লাল ফুল ফুডে দে"
"দাদু যখন যুদ্ধের গল্প বলেন, চোখে পানি আসে","দাদু যেত্তে যুদ্ধুর হথা হয়, এত্তে চোগুত পানি আইযায়"
পিঠা বানাচ্ছি সবার জন্য।,পিডে বানাইর বেজ্ঞুনুর লায় ।
ইউটিউব দেখে,ইউটিউব চাইয়েরে
বাজারে যাবেন নাকি?,বাজারত যাইবেননা?
কোন এলাকায় ফ্ল্যাট দেখতেছস?,হন এলাহাত ফ্ল্যাট ছদ্দে?
সাহিত্য আসরে,সাহিত্য আসরত /বইডুকুত
পাখা চালাবো?,ফ্যান চালাইয়ুম ?
কোন জায়গাটা তোমার প্রিয়?,হন জাগাগান তোয়ার প্রিয়?
ঐতিহ্যবাহী খাবারের দোকানে কি খান?,নাম গরা হানার দোআন ইয়েনত কি গরন দে?
"হ্যাঁ, কুলিংয়ের জন্য","অয়অ, ঠান্ডার লায় দিয়ি দে"
কেমন আছেন?,কেন আছন?
কি সার্ভিস নিবেন?,হন সার্ভিস লইবেন?
শনিবার পিকনিকের কি করলে?,শনিবার পিকনিগুর কি গইল্লি?
পুলি পিঠা বানাবেন?,পুলি পিডে বানাইবেন না ?
"বড় ভাই, কি পরামর্শ দেবেন?","বড় ভাই,কি পরার্মশ দিবেন দে ?"
কি পড়ছেন?,কি পইত্তে লাগ্গুন দে ?
মেলা বসবে কবে?,মেলা হত্তে বয়বু দে ?
আপনার কি বাড়িতে কোকিল আসে?,অনর ঘরত কি কোকিল আইয়ি না?
শুঁটকি আছে?,ওনি আছে না?
বাসি মাছ,বাঈ মাছ
সুইচটা কোনটা?,সুইচ হন্ন?
বাজারে কি হল?,বাজারত কি অইয়ি দে ?
কোন দিকে যাবেন?,হন দি রাখবেন?
সুপারি দিয়ে সাদা পান খাই,সুঅরি দি সাদা পান হায়
এই রুটে লাস্ট বাস কখন?,এই রোডত লাস্ট বাস হত্তে?
দিনাজপুর রাজবাড়ি দেখেছেন?,দিনাজপুরুর রাজবাড়ী চাইয়ুন না?
"মোড়ল সাহেব, কি বিচার হল?","মুরুব্বি সাব,কি বিচের অইয়ি ?"
বৃষ্টির দিনে কি করস?,ঝড়র দিনুত কি গরছ দে?
আধুনিক বাংলা ব্যান্ড মিউজিক শুনতে,আধুনিক বাংলা ব্যান্ডর গান ওইনতু
বাংলাদেশের নতুন সমুদ্র বন্দর দেখি,বাংলাদেশর নোয়া সমুদ্র বন্দর চাইর
উনুনের পাশে।,চুলর ডাগত ।
দেশের মেলা সংস্কৃতি কি বলে?,দেশর মেলা সংস্কৃতি কি হয় দে?
কোথায় চুল কাটাবেন?,চুল হডে হাডিবেদে?
দেশের নাম উঁচুতে তুলতে চায়,দেশর নাম উরি গইত্তু চায়
কোন সময় পড়া মনে থাকে?,হন সমত পড়া মনত থাগে দে?
মসলা চাই পছন্দ,মসলা চা গম লাগে দে
"হ্যাঁ, একটু জ্বর জ্বর লাগছে","অয়অ,এক্কানা জ্বর ওইট্টি পান পান লাল"
তোমার মাকে দেখতে এলাম।,তোয়ার মারে চাইতু আইলাম ।
কোথায় দেখা হবে?,হনডে দেহা অয়বু ?
কোথায় হারিকেন রাখেন?,চেরাগ হন্ডে রাহন দে?
থালার পাশেই তো।,বাসনর ডাগে ত ।
উঠানে বসে পুরনো দিনের গপ্পো হয়,উডনত বইয়েরে পুরন আমলর হথা হঅর
পিঠা-পুলি থেকে নানা পারম্পরিক খাবার,পিঠা-পুলিত্তুন বউত ডইল্লে পারম্পরিক হানা
মুড়ি-মুড়কি আর চানাচুর খুব ভালো,মুড়ি ইয়ের চেনাচুর বউত পোয়াদ
কি পেলে?,কি পাইয়ুন ?
পুকুর পাড়ে কি করেন?,পইর পাড়ত কি গরন দে?
নানা জায়গার বিশেষ খাবার খুঁজে খাই,বউত জাগার নাম গইজ্জে হানা হায়
নিজের ঘরে,নিজুর ঘরত
আজকের তোলা।,আজিয়ের তোলা।
প্রেজেন্টেশনটা কাল নাকি?,পেজেনটেশন হালিয়ে না?
ঠাকুরমার মুখে শোনা রূপকথা মনে আছে,ঠাকুমার মুখুত্তুন ওননি বুড়ি কিস্তের হথা মনত আছে না
গুলশান-বনানির কোন কফি শপে যাবে?,গুলশান বনানীর হন কফি শপত যাইবে?
ছানা কড়া হয়ে গেছে।,ছানা হরা অয় গেইয়ি ।
সূর্যাস্তের সময়,সুজ্জু ডুপিবের সমত
"হ্যাঁ, মসলা পেষার জন্য","অয়অ,মসল্লা পিষি কেল্লায়"
এখানে কি ইন্টারনেট আছে?,এন্ডে কি ইন্টারনেট আছে না?
মৃদু বৃষ্টি,পিনপিনি ঝড় পরের
কুল পেকেছে?,বড়ই পাইক্ষি না?
সুতির কাপড়,সুতির হর
কোন মসজিদে জুমা পড়স?,হন মসদুত জুমা পরছ দে?
ন্যায়ের জয় হল।,ন্যায়ের জয় অইয়ি ।
কোথায় বই কিনতে যাস?,বই কিনতু হনডে যচ দে?
মোহর ঠিক হয়েছে?,মোহর ঠিক অইয়ি না ?
গোসলখানা।,গোছল হানা ।
আপনি কি নিয়মিত কলমি শাক খান?,অনে কি পইত্তেন হরমু শাক হন না?
কোন ধরনের ডালভাজি পছন্দ?,হন ডইল্লে ডাইল বাজি গম লাগে দে?
"ইভেন্ট কভার করি, পার্ট টাইম ইনকাম হয়","ইভেন্ট কভার গরি, পার্ট টাইম ইনকাম অয়"
"ভাবি, রান্নাটা শিখিয়ে দিবেন?",ভাবি রান্নাগান শিখেই দিবেন না?
সে ডাক্তারি পড়ে,ইবে ডাক্তরি পড়ের দে
"হ্যাঁ, দাঁত মাজার জন্য","অয়অ, দাঁত মাজিবেল্লায়"
কোন ধরনের রুটি পছন্দ?,কি রহম রুটি ভালা লাগে দে?
কি খবর বাড়ির?,বাড়ির হবর কি?
পেঁয়াজ দিয়ে,পিয়েজ দিয়েরে
মৌসুমি সবজি,সিজনর তরহারি
"হ্যাঁ, ডিজিটাল স্কেল","অয়অ, ডিজিটাল স্কেল"
তোর বন্ধুর দোকান কেমন চলে?,তোর বন্ধুর দোআন কেন চলের?
বাড়িতে কোন পাখি আসে?,ঘরত মাইজ্জি হন পাখি আইয়ি দে?
সপ্তাহে কয়দিন বাইরে খাস?,সপ্তায় হদি বাদ্দি হচ দে?
আপনি কি রোজ ব্যায়াম করেন?,অনে কি পত্তেইন ব্যায়াম গরন না?
গামছা দিয়ে কি করবে?,গামছা দি কি গরিবেন দে?
প্রাকৃতিক দৃশ্য,প্রাকৃতিক দৃশ্য
ধীর চলাফেরা,লেডার আডানি
চল্লিশ টাকা।,চল্লিশ টিয়া ।
"দারোয়ান ভাই, কুরিয়ার এসেছিল?","দারোয়ান ভাই, কুরিয়ার কি আইস্সিল না?"
রেওয়াজ করে,রেওয়াজ গরিয়েরে
কোথায় খাবার খান?,হানা হনডে হন দে?
কোথায় বসে লেখেন?,হনডে বইয়েরে লেহন দে?
আজকের বড় খবর।,আজিয়ের বড় হবর।
কোথায় গান শুনতে ভালোলাগে?,গান ওইনতু হনডে গম লাগে দে?
"হ্যাঁ, স্কেচবুকে আঁকি","অয়অ,ফেইসবুকুত আঁকি দি"
বাউল গান কোথায় শোনো?,বাউল গান হনডে ওনন দে?
বাজারের কোন সবজি বেশি টাটকা?,বাজারত হন তরহারি বেশি তাজা দে?
তাঁতের শাড়ি কোথায় দেখেন?,আথে বানানে শাড়ি হডে পা যায়বু দে?
ক্রিয়েটিভ ইন্ডাস্ট্রির মানুষজন,ক্রিয়েটিভ ইন্ডাস্ট্রির মানুষ অল
আপনি কি নিয়মিত প্রিন্ট করেন?,অনে কি পইত্তেন প্রিন্ট গরন না?
